category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF03732	2	4	0	2	0	2	0
PF03781	1	2	1	2	1	2	1
PF03807	1	3	1	3	1	3	1
PF03931	1	2	0	2	0	2	0
PF03936	2	4	2	2	1	2	1
PF03951	2	4	0	2	0	2	0
PF03953	3	8	0	3	0	2	0
PF03999	1	2	1	2	1	2	1
PF04057	1	2	1	2	1	2	1
PF04096	1	2	3	2	3	2	3
PF04109	1	2	0	2	0	2	0
PF04321	1	2	1	2	1	2	1
PF04525	2	8	4	6	4	2	0
PF04535	2	4	1	2	1	2	0
PF04564	1	2	1	2	1	2	1
PF04576	2	4	0	2	0	2	0
PF04577	2	4	1	2	1	2	0
PF04833	1	2	0	2	0	2	0
PF04885	1	9	2	9	2	9	2
PF05018	1	2	0	2	0	2	0
PF05050	1	3	2	3	2	3	2
PF05056	1	3	1	3	1	3	1
PF05057	4	8	3	2	2	2	0
PF05078	2	5	0	3	0	2	0
PF05199	1	2	0	2	0	2	0
PF05217	1	2	3	2	3	2	3
PF05368	3	6	1	2	1	2	0
PF05637	2	4	3	2	3	2	0
PF05641	2	7	10	4	8	3	2
PF05729	4	9	4	3	3	2	0
PF05922	1	2	0	2	0	2	0
PF05938	4	10	4	4	3	2	0
PF05970	11	22	9	2	4	2	0
PF05990	1	2	0	2	0	2	0
PF06351	1	3	0	3	0	3	0
PF06415	1	2	2	2	2	2	2
PF06749	1	3	1	3	1	3	1
PF06760	1	2	0	2	0	2	0
PF06813	1	2	1	2	1	2	1
PF06955	4	9	0	3	0	2	0
PF06974	1	2	4	2	4	2	4
PF06978	1	2	0	2	0	2	0
PF07004	1	2	0	2	0	2	0
PF07058	1	2	0	2	0	2	0
PF07200	1	2	5	2	5	2	5
PF07250	3	7	1	3	1	2	0
PF07367	3	6	0	2	0	2	0
PF07690	3	6	1	2	1	2	0
PF07707	1	2	4	2	4	2	4
PF07714	55	138	88	7	10	2	0
PF07724	1	2	1	2	1	2	1
PF07727	8	18	11	3	6	2	0
PF07731	1	2	0	2	0	2	0
PF07748	1	2	6	2	6	2	6
PF07795	1	2	0	2	0	2	0
PF07842	1	2	2	2	2	2	2
PF07876	1	2	1	2	1	2	1
PF07883	9	32	5	9	3	2	0
PF07887	1	7	3	7	3	7	3
PF07910	1	3	5	3	5	3	5
PF08100	4	10	6	4	4	2	0
PF08132	1	2	1	2	1	2	1
PF08238	2	5	2	3	2	2	0
PF08240	5	15	2	7	1	2	0
PF08244	3	8	2	3	2	2	0
PF08263	8	22	20	4	5	2	0
PF08370	2	5	0	3	0	2	0
PF08417	1	4	5	4	5	4	5
PF08423	1	2	0	2	0	2	0
PF08450	1	3	4	3	4	3	4
PF08477	1	2	0	2	0	2	0
PF08513	1	2	1	2	1	2	1
PF08541	1	2	0	2	0	2	0
PF08627	1	2	0	2	0	2	0
PF08659	2	5	3	3	2	2	1
PF08881	3	10	0	6	0	2	0
PF09118	3	7	1	3	1	2	0
PF09173	1	2	2	2	2	2	2
PF09265	1	2	0	2	0	2	0
PF09337	7	14	4	2	4	2	0
PF10017	1	2	1	2	1	2	1
PF10067	1	4	0	4	0	4	0
PF10235	1	2	1	2	1	2	1
PF10237	1	3	5	3	5	3	5
PF11145	2	5	0	3	0	2	0
PF11721	1	2	4	2	4	2	4
PF11937	1	2	0	2	0	2	0
PF11960	1	2	0	2	0	2	0
PF12142	1	2	2	2	2	2	2
PF12143	1	2	2	2	2	2	2
PF12296	1	2	0	2	0	2	0
PF12348	1	2	0	2	0	2	0
